vessel_id,mmsi,vessel_name,latitude,longitude,start_distance_from_port_km,end_distance_from_port_km,start_distance_from_shore_km,end_distance_from_shore_km,start,end,event_type,label
865331d91-1c0d-82d9-6175-9f0786eef67a,354446000,PETROBRAS-47,-22.345,-40.1949,0.0,0.0,90.0,91.0,2012-10-31T23:42:34.000Z,2026-02-16T05:04:32.000Z,loitering,1
f10f3628a-a32f-a990-2f47-615761302052,311048800,CIDADE DE ILHABELA,-25.6361,-43.2021,7.847938,0.0,275.0,280.0,2014-09-23T03:39:27.000Z,2026-09-07T23:17:36.000Z,loitering,1
e0df12806-69b2-e230-4777-6a450d6a7afa,309275000,ESPIRITO SANTO,-21.2084,-39.7438,1.036627,1.036627,97.0,97.0,2015-07-02T09:29:37.000Z,2024-06-04T16:59:55.000Z,loitering,1
afaf1afb6-64b2-fa7e-c4e7-93155c249c46,311076500,CIDADE D MANGARATIBA,-25.203,-42.8786,0.0,0.0,238.0,238.0,2015-10-02T00:26:27.000Z,2025-10-24T00:55:27.000Z,loitering,1
461eed817-7b26-855d-a2ea-39d8a3d2e4bc,308626000,CIDADE DE ANCHIETA,-21.3392,-40.0588,0.0,0.0,81.0,81.0,2015-10-02T00:39:47.000Z,2026-08-22T03:47:19.000Z,loitering,1
9fe2e19cd-d074-c73e-d9fd-1318e1ba0b83,636014487,PAZFLOR,-7.5928,12.1103,1.5656690000000002,1.5656690000000002,89.0,89.0,2015-11-05T07:30:41.000Z,2026-09-07T23:53:34.000Z,loitering,1
46ecf8c13-39c7-1c21-1232-fbdf59ee4fc7,538003076,PETROBRAS-XVIII,-22.4283,-40.0287,0.0,0.0,110.0,110.0,2016-02-23T03:06:32.000Z,2024-09-03T11:18:32.000Z,loitering,1
48b7a9ff0-0b1a-8ceb-e9ee-b4f02aee525b,636012580,FPSO RAROA,-39.9719,173.2993,110.846477,110.846477,67.0,67.0,2016-03-29T20:28:29.000Z,2026-09-07T23:59:04.000Z,loitering,1
900a81231-1752-29d7-6ab8-7927113d607e,354894000,PETROBRAS 48,-22.6629,-40.2395,0.0,0.0,107.0,107.0,2016-05-23T21:33:33.000Z,2024-10-17T22:30:12.000Z,loitering,1
967798af2-2768-4221-1639-b5173c6f8034,309864000,FPSO FRADE,-21.8836,-39.8584,0.0,1.111949,116.0,116.0,2016-11-11T12:18:28.000Z,2026-05-11T23:58:03.000Z,loitering,1
6d2fecc04-41ac-1267-c944-9a6c4ec40519,538001311,ARMADA OLOMBENDO,-6.0332,11.3736,22.194028999999997,14.112597,91.0,97.0,2016-12-11T10:57:01.000Z,2026-09-07T23:59:13.000Z,loitering,1
